Rank,Player,Gold,Silver,Bronze,S Tier,Earnings,medals
194,aproto,5,2,6,0,"$13,480",13
196,AKUMAAAAA,7,4,2,0,"$13,408",13
197,Marzil,6,5,2,0,"$13,325",13
198,JonahP,6,2,1,0,"$13,295",9
199,adverso,12,7,0,0,"$13,135",19
200,Tacolilla,12,6,0,0,"$13,057",18
201,hoppY,13,3,0,0,"$12,976",16
202,XiSTOU,4,6,3,0,"$12,972",13
203,moose,3,0,3,0,"$12,932",6
204,luckeRRR,5,5,1,0,"$12,841",11
205,logaN,12,2,0,0,"$12,820",14
206,rodeN,14,4,0,0,"$12,798",18
207,thief,4,5,6,0,"$12,780",15
208,Melser,9,8,0,0,"$12,713",17
209,rion,3,2,1,0,"$12,687",6
210,kiNgg,8,7,0,0,"$12,670",15
211,eeiu,1,6,2,0,"$12,425",9
212,s0m,1,4,1,0,"$12,375",6
213,stellar,6,3,5,0,"$12,355",14
214,heat,3,2,1,0,"$12,293",6
215,blaZek1ng,9,6,2,0,"$12,283",17
216,tex,3,3,2,0,"$12,275",8
217,Sayaplayer,2,0,0,0,"$12,250",2
218,PLAYER1,7,3,2,0,"$12,200",12
219,Fit1nho,10,5,1,0,"$12,083",16
220,qRaxs,2,2,3,0,"$12,023",7
221,neptune,4,6,1,0,"$11,945",11
222,TakaS,13,3,1,0,"$11,904",17
223,mazin,4,2,1,0,"$11,901",7
224,10X,0,3,1,0,"$11,898",4
225,fznnn,9,3,1,0,"$11,878",13
226,neT,5,3,1,0,"$11,850",9
227,toronto,4,7,2,0,"$11,794",13
228,Shawn,7,3,1,0,"$11,782",11
229,Cryocells,10,2,3,0,"$11,700",15
230,Excali,21,12,8,0,"$11,637",41
231,Tehbotol,7,5,3,0,"$11,553",15
232,BerserX,7,5,2,0,"$11,496",14
233,avez,9,4,1,0,"$11,403",14
234,chiwawa,3,0,2,0,"$11,360",5
235,fl1pzjder,6,4,3,0,"$11,352",13
236,KP,12,12,6,0,"$11,325",30
237,Antidote,18,9,4,0,"$11,259",31
238,supamen,5,3,1,0,"$11,250",9
239,Jady,4,2,0,0,"$11,193",6
240,trent,3,1,0,0,"$11,170",4
